2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
NSW,103,Banks,U,9998,0,Unapportioned,Seniors United Party of Australia,SUN,N,N,80,0,0,0,0,80
NSW,103,Banks,V,0,33812,V Ticket Votes,Socialist Equality Party,SEP,N,N,7,0,0,0,0,7
NSW,103,Banks,V,1,33015,"PHILLIPS, Richard",Socialist Equality Party,SEP,N,N,0,0,0,0,0,0
NSW,103,Banks,V,2,33017,"DAVIS, John",Socialist Equality Party,SEP,N,N,0,0,0,0,0,0
NSW,103,Banks,V,9998,0,Unapportioned,Socialist Equality Party,SEP,N,N,24,0,0,0,0,24
NSW,103,Banks,W,0,33811,W Ticket Votes,Australian Workers Party,AWP,N,N,21,0,0,0,0,21
NSW,103,Banks,W,1,33000,"PTOLEMY, Mark",Australian Workers Party,AWP,N,N,0,0,0,0,0,0
NSW,103,Banks,W,2,33005,"NGUYEN, Maria",Australian Workers Party,AWP,N,N,0,0,0,0,0,0
NSW,103,Banks,W,9998,0,Unapportioned,Australian Workers Party,AWP,N,N,59,0,0,0,0,59
NSW,103,Banks,X,0,33814,X Ticket Votes,Australian Better Families,ABFA,N,N,23,0,0,0,0,23
NSW,103,Banks,X,1,33024,"DRURY, Jewell",Australian Better Families,ABFA,N,N,0,0,0,0,0,0
NSW,103,Banks,X,2,33039,"MOUJALLI, Peter",Australian Better Families,ABFA,N,N,0,0,0,0,0,0
NSW,103,Banks,X,9998,0,Unapportioned,Australian Better Families,ABFA,N,N,62,0,0,0,0,62
NSW,103,Banks,Y,0,33798,Y Ticket Votes,Involuntary Medication Objectors (Vaccination/Fluoride) Party,IMO,N,N,15,0,0,0,0,15
NSW,103,Banks,Y,1,33312,"O'NEILL, Michael",Involuntary Medication Objectors (Vaccination/Fluoride) Party,IMO,N,N,0,0,0,0,0,0
NSW,103,Banks,Y,2,33315,"BURNUM BURNUM, Marelle",Involuntary Medication Objectors (Vaccination/Fluoride) Party,IMO,N,N,0,0,0,0,0,0
NSW,103,Banks,Y,9998,0,Unapportioned,Involuntary Medication Objectors (Vaccination/Fluoride) Party,IMO,N,N,55,0,0,0,0,55
NSW,103,Banks,Z,0,33802,Z Ticket Votes,United Australia Party,UAPP,N,N,192,0,0,0,0,192
