2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fenner,8812,Evatt,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1997,-1.14
ACT,102,Fenner,8812,Evatt,28983,GUNNING,Robert,3,N,N,LP,Liberal,1160,1.14
ACT,102,Fenner,8814,Florey,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1286,3.75
ACT,102,Fenner,8814,Florey,28983,GUNNING,Robert,3,N,N,LP,Liberal,659,-3.75
ACT,102,Fenner,65493,Forde,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,848,0.48
ACT,102,Fenner,65493,Forde,28983,GUNNING,Robert,3,N,N,LP,Liberal,828,-0.48
ACT,102,Fenner,34238,Fraser Central,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1880,0.85
ACT,102,Fenner,34238,Fraser Central,28983,GUNNING,Robert,3,N,N,LP,Liberal,1056,-0.85
ACT,102,Fenner,8816,Giralang,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1110,0.1
ACT,102,Fenner,8816,Giralang,28983,GUNNING,Robert,3,N,N,LP,Liberal,596,-0.1
ACT,102,Fenner,34240,Gungahlin,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1660,2.48
ACT,102,Fenner,34240,Gungahlin,28983,GUNNING,Robert,3,N,N,LP,Liberal,1188,-2.48
ACT,102,Fenner,38504,Gungahlin FENNER PPVC,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,4433,2.27
ACT,102,Fenner,38504,Gungahlin FENNER PPVC,28983,GUNNING,Robert,3,N,N,LP,Liberal,3880,-2.27
ACT,102,Fenner,47681,Harrison,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1920,3.42
ACT,102,Fenner,47681,Harrison,28983,GUNNING,Robert,3,N,N,LP,Liberal,1428,-3.42
ACT,102,Fenner,8821,Holt,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1931,0.67
ACT,102,Fenner,8821,Holt,28983,GUNNING,Robert,3,N,N,LP,Liberal,969,-0.67
ACT,102,Fenner,8823,Kaleen,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1503,2.16
ACT,102,Fenner,8823,Kaleen,28983,GUNNING,Robert,3,N,N,LP,Liberal,855,-2.16
ACT,102,Fenner,8824,Kaleen South,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1086,2.33
ACT,102,Fenner,8824,Kaleen South,28983,GUNNING,Robert,3,N,N,LP,Liberal,606,-2.33
ACT,102,Fenner,8825,Latham,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1180,4.28
ACT,102,Fenner,8825,Latham,28983,GUNNING,Robert,3,N,N,LP,Liberal,560,-4.28
ACT,102,Fenner,8826,Lyneham,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,2396,0.52
ACT,102,Fenner,8826,Lyneham,28983,GUNNING,Robert,3,N,N,LP,Liberal,804,-0.51
ACT,102,Fenner,8827,Macgregor,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1761,1.02
ACT,102,Fenner,8827,Macgregor,28983,GUNNING,Robert,3,N,N,LP,Liberal,882,-1.02
ACT,102,Fenner,8828,Macquarie,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1154,0.19
ACT,102,Fenner,8828,Macquarie,28983,GUNNING,Robert,3,N,N,LP,Liberal,489,-0.19
ACT,102,Fenner,8830,Melba,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1575,4.38
ACT,102,Fenner,8830,Melba,28983,GUNNING,Robert,3,N,N,LP,Liberal,749,-4.38
ACT,102,Fenner,32463,Ngunnawal,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,2088,4.08
ACT,102,Fenner,32463,Ngunnawal,28983,GUNNING,Robert,3,N,N,LP,Liberal,1147,-4.08
ACT,102,Fenner,32081,Nicholls,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1972,0.18
ACT,102,Fenner,32081,Nicholls,28983,GUNNING,Robert,3,N,N,LP,Liberal,1888,-0.18
ACT,102,Fenner,65840,Other Mobile Team 1,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,57,7.47
ACT,102,Fenner,65840,Other Mobile Team 1,28983,GUNNING,Robert,3,N,N,LP,Liberal,5,-7.47
ACT,102,Fenner,8832,Page,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1205,3.36
ACT,102,Fenner,8832,Page,28983,GUNNING,Robert,3,N,N,LP,Liberal,601,-3.36
ACT,102,Fenner,31626,Palmerston,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1671,1.11
ACT,102,Fenner,31626,Palmerston,28983,GUNNING,Robert,3,N,N,LP,Liberal,1081,-1.11
ACT,102,Fenner,65743,Parkes (Fenner),28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1110,-0.57
ACT,102,Fenner,65743,Parkes (Fenner),28983,GUNNING,Robert,3,N,N,LP,Liberal,408,0.57
ACT,102,Fenner,8834,Scullin,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,859,2.74
ACT,102,Fenner,8834,Scullin,28983,GUNNING,Robert,3,N,N,LP,Liberal,370,-2.74
ACT,102,Fenner,32467,Special Hospital Team 1,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,211,-3.48
ACT,102,Fenner,32467,Special Hospital Team 1,28983,GUNNING,Robert,3,N,N,LP,Liberal,189,3.48
ACT,102,Fenner,32468,Special Hospital Team 2,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,57,-3.25
ACT,102,Fenner,32468,Special Hospital Team 2,28983,GUNNING,Robert,3,N,N,LP,Liberal,50,3.25
ACT,102,Fenner,82488,Special Hospital Team 3,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,99,5.59
ACT,102,Fenner,82488,Special Hospital Team 3,28983,GUNNING,Robert,3,N,N,LP,Liberal,61,-5.58
ACT,102,Fenner,64585,Tuggeranong FENNER PPVC,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,343,0.43
ACT,102,Fenner,64585,Tuggeranong FENNER PPVC,28983,GUNNING,Robert,3,N,N,LP,Liberal,212,-0.43
ACT,102,Fenner,8836,Turner (Fenner),28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1321,-0.06
